,codename,political_parties,votes
528,huesca,MÁS PAÍS-EQUO,0
529,teruel,MÁS PAÍS-EQUO,0
530,zaragoza,MÁS PAÍS-EQUO,0
531,asturias,MÁS PAÍS-EQUO,12732
532,illesbalears,MÁS PAÍS-EQUO,0
533,laspalmas,MÁS PAÍS-EQUO,8389
534,santacruzdetenerife,MÁS PAÍS-EQUO,6583
535,cantabria,MÁS PAÍS-EQUO,0
536,albacete,MÁS PAÍS-EQUO,0
537,ciudadreal,MÁS PAÍS-EQUO,0
538,cuenca,MÁS PAÍS-EQUO,0
539,guadalajara,MÁS PAÍS-EQUO,0
540,toledo,MÁS PAÍS-EQUO,0
541,avila,MÁS PAÍS-EQUO,0
542,burgos,MÁS PAÍS-EQUO,0
543,leon,MÁS PAÍS-EQUO,0
544,palencia,MÁS PAÍS-EQUO,0
545,salamanca,MÁS PAÍS-EQUO,0
546,segovia,MÁS PAÍS-EQUO,0
547,soria,MÁS PAÍS-EQUO,0
548,valladolid,MÁS PAÍS-EQUO,0
549,zamora,MÁS PAÍS-EQUO,0
550,barcelona,MÁS PAÍS-EQUO,0
551,girona,MÁS PAÍS-EQUO,0
552,lleida,MÁS PAÍS-EQUO,0
553,tarragona,MÁS PAÍS-EQUO,0
554,badajoz,MÁS PAÍS-EQUO,0
555,caceres,MÁS PAÍS-EQUO,0
556,acoruña,MÁS PAÍS-EQUO,12619
557,lugo,MÁS PAÍS-EQUO,0
558,ourense,MÁS PAÍS-EQUO,0
559,pontevedra,MÁS PAÍS-EQUO,10207
560,madrid,MÁS PAÍS-EQUO,201389
561,navarra,MÁS PAÍS-EQUO,0
562,araba_alava,MÁS PAÍS-EQUO,0
563,gipuzkoa,MÁS PAÍS-EQUO,0
564,bizkaia,MÁS PAÍS-EQUO,8542
565,murcia,MÁS PAÍS-EQUO,13439
566,larioja,MÁS PAÍS-EQUO,0
567,alicante_alacant,MÁS PAÍS-EQUO,0
568,castellon_castello,MÁS PAÍS-EQUO,0
569,valencia_valencia,MÁS PAÍS-EQUO,0
570,ceuta,MÁS PAÍS-EQUO,0
571,melilla,MÁS PAÍS-EQUO,0
572,almeria,CUP-PR,0
573,cadiz,CUP-PR,0
574,cordoba,CUP-PR,0
575,granada,CUP-PR,0
576,huelva,CUP-PR,0
577,jaen,CUP-PR,0
578,malaga,CUP-PR,0
579,sevilla,CUP-PR,0
580,huesca,CUP-PR,0
581,teruel,CUP-PR,0
582,zaragoza,CUP-PR,0
583,asturias,CUP-PR,0
584,illesbalears,CUP-PR,0
585,laspalmas,CUP-PR,0
586,santacruzdetenerife,CUP-PR,0
587,cantabria,CUP-PR,0
588,albacete,CUP-PR,0
589,ciudadreal,CUP-PR,0
590,cuenca,CUP-PR,0
591,guadalajara,CUP-PR,0
592,toledo,CUP-PR,0
